"id","cnpj","nome","cep","logradouro","bairro","cidade","uf","cd_estabelecimento","ps"
1,"31466949001853",DF - PS SIG,"70610440",Sig Quadra 4,Zona Industrial,Brasilia,DF,13,true
2,"31466949001500",ES - PS Vila Velha,"29106730",Avenida Carlos Lindenberg,Ilha dos Ayres,Vila Velha,ES,3,true
5,"31466949003635",RJ - PS Barra da Tijuca,"22775005",Avenida Ayrton Senna,Jacarepegua,Rio de Janeiro,RJ,25,true
3,"31466949001772",MG - PS Gutierrez,"30110059",Avenida do Contorno,Gutierrez,Belo Horizonte,MG,31,true
9,"11111111111111",ES - Hospital Vitoria,"29073700",Avenida Leitao da Silva,Gurigica,Vitoria,ES,1,true
4,"31466949004011",MG - PS Pampulha,"31270672",Avenida Presidente Antonio Carlos,Sao Luiz,Belo Horizonte,MG,33,true
6,"31466949003716",RJ - PS Botafogo,"22251040",Rua Marques de Olinda,Botafogo,Rio de Janeiro,RJ,26,true
7,"31466949003805",DF - PS Taguatinga,"71953000",Qs 3,(areal) Pistao Sul,Brasilia,DF,39,true
8,"31466949004283",RJ - PS Campo Grande,"23052102",Avenida Cesario de Melo,Campo Grande,Rio de Janeiro,RJ,45,true
