"CD_ESTABELECIMENTO","cd_estabelecimento","unidade","ativos","hoje","triagem_total","consulta_total","farmacia_total","medicacao_total","procedimento_total","reavaliacao_total","rx_total","ecg_total","tc_ex_total","tc_lau_total","us_ex_total","us_lau_total","tc_us_ex_total","tc_us_lau_total","internacao_total","transferencia_total","acomodacao_total","observacao_total","triagem_acima_meta","consulta_acima_meta","permanencia_acima_meta","rx_acima_meta","ecg_acima_meta","rx_ecg_acima_meta","tc_acima_meta","tc_pendente","tc_laudo_acima_meta","tc_laudo_pendente","us_acima_meta","us_pendente","us_laudo_acima_meta","us_laudo_pendente","tc_us_acima_meta","tc_us_pendente","tc_us_laudo_acima_meta","tc_us_laudo_pendente","reavaliacao_acima_meta","medicacao_acima_meta","procedimento_acima_meta","farmacia_acima_meta","triagem_maior_tempo_acima_meta","consulta_maior_tempo_acima_meta","permanencia_maior_tempo_acima_meta","rx_maior_tempo_acima_meta","ecg_maior_tempo_acima_meta","rx_ecg_maior_tempo_acima_meta","tc_maior_tempo_acima_meta","tc_laudo_maior_tempo_acima_meta","us_maior_tempo_acima_meta","us_laudo_maior_tempo_acima_meta","tc_us_maior_tempo_acima_meta","tc_us_laudo_maior_tempo_acima_meta","reavaliacao_maior_tempo_acima_meta","medicacao_maior_tempo_acima_meta","procedimento_maior_tempo_acima_meta","farmacia_maior_tempo_acima_meta","aguardando_internacao","internacao_qtd","aguardando_acomodacao","acomodacao_qtd","aguardando_transferencia","transferencia_qtd","triagem_em_atencao","consulta_em_atencao","permanencia_em_atencao","rx_em_atencao","ecg_em_atencao","rx_ecg_em_atencao","tc_us_em_atencao","tc_us_laudo_em_atencao","reavaliacao_em_atencao","medicacao_em_atencao","procedimento_em_atencao","farmacia_em_atencao","aguardando_internacao_em_atencao","aguardando_acomodacao_em_atencao","aguardando_transferencia_em_atencao","triagem_ok","consulta_ok","permanencia_ok","rx_ok","ecg_ok","rx_ecg_ok","tc_ok","tc_laudo_ok","us_ok","us_laudo_ok","tc_us_ok","tc_us_laudo_ok","reavaliacao_ok","medicacao_ok","procedimento_ok","farmacia_ok","maior_tempo_permanencia_fmt","maior_tempo_ps_min","maior_tempo_permanencia_min","ocupacao_internacao_pct","ocupacao_uti_pct","ocupacao_upc_pct","ocupacao_enf_pct","ocupacao_apt_pct","ocupacao_apt_blk_pct","ocupacao_box_pct"
1,1,ES - ES - Hospital Vitoria,29,104,0,8,0,1,0,1,3,0,0,1,3,0,3,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,1,3,0,0,2,3,0,1,1,1,0,0,0,0,244,0,0,0,0,0,73.4424899000000000,0,73.4424899000000000,0,85,23,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,18,3,0,3,0,1,2,0,2,1,0,0,0,0,"04h: 04min",244,244,58.59,50.00,0,61.67,60.00,0,0
13,13,DF - DF - PS SIG,16,71,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,1,1,2,0,0,0,0,0,0,0,0,0,0,"03h: 42min",222,222,94.74,0,0,100.00,83.33,100.00,0
39,39,DF - DF - PS Taguatinga,21,84,0,7,0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,1651,0,0,0,93.6758232333333333,0,0,0,93.6758232333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,1,0,2,0,3,0,0,0,0,0,"03h: 30min",1651,1651,78.57,0,100.00,64.29,66.67,100.00,0
3,3,ES - ES - PS Vila Velha,17,118,0,6,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,8,0,0,0,1,1,0,0,1,1,1,0,0,0,"02h: 41min",162,162,0,0,0,0,0,0,0
31,31,MG - MG - PS Gutierrez,6,48,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,84.7924899000000000,0,0,0,85,55,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,"01h: 54min",115,115,80.00,0,0,83.33,0.00,0,100.00
33,33,MG - MG - PS Pampulha,7,50,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,240,0,0,0,0,83.1258232333333333,0,0,0,83.1258232333333333,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,0,1,0,0,0,"03h: 59min",240,240,94.44,80.00,0,100.00,100.00,0,0
25,25,RJ - RJ - PS Barra da Tijuca,14,48,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,89.1758232333333333,89.1758232333333333,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,1,0,1,0,0,0,0,0,0,0,0,0,0,"01h: 49min",110,110,79.31,0,75.00,66.67,100.00,100.00,0
26,26,RJ - RJ - PS Botafogo,3,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"02h: 31min",151,151,72.22,0,66.67,73.68,100.00,62.50,0
45,45,RJ - RJ - PS Campo Grande,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00h: 35min",35,35,50.00,0,57.14,42.86,0,0,0
